,Acridi,AgaGut,Aphidi,ArcCinA,ArcCinJ,AtheriL,BaeSpp,BemDec,BemFas,BemPun,BemTes,BraMon,CeratoA,CeratoL,ChironL,ChironP,CicHyb,Clubio,CoccinA,ColeopA,ColeopL,Curcu1A,Curcu2A,DinFerr,DinMegA,DinMegL,Dipte1L,Dipte2L,DipterA,DruDis,Dysder,ElaterA,ElmidaA,ElmidaL,Entomo,EphDan,EphemeA,Formi1A,Formi1W,Formi2,GamSpp,GloSpp,GyriniA,HelSpp,HemiptA,HexSpp,Hirudi,Hydrom,Hydrac,HydropL,HydSppL,HydSppP,Hymeno,LabRip,LepidoA,LeuSpp,LioQua,MicMin,Mirida,NebPic,OchRos,Oligoc,OreSppA,OreSppL,PaeRub,ParWag,PerAer,PhiRuf,PirLat,Pisaur,ProSpp,RhaSpp,RhiSpp,RhyHir,RhyTriL,RhyTriP,ScoGra,SerIgn,SimuliL,TabaniL,ThiDil,Thomis,Thysan,TipSpp,TipuliA,TrichoA
S6/A4-P,0,0,0.2,0,0,0,0,1,9.4,0,0,0,1.4,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0.4,1.2,0,0,1.4,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.4,0
S6/A5-P,0,0,0,0.4,19.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,2,0,0,2.4,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
S6/A6-P,0,0,0,0,0,0,0,0.4,4.6,2,0.4,0,3,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.6,0,0,0,0,0,0,0,0.2,0,0,0,4.2,0,0,0,0,0
S6/A7-P,0,0,0,0.4,18.2,0,0,2.6,0,0,0,0,1,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,6.2,0.2,0,0.4,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
S6/B1-P,0.2,0,0,0.2,4.4,0,0,2,0,0,0,0,0.4,0,0,0,0.4,0,0.2,0,0,0,0.2,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0.6,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0.8,0,0,0,0.6,0,0,0.6,0,0,0,0,0.8,4.2,0.2,0,1.4,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0
S6/B2-P,0,0,0,0.2,0,0,0,0,0,0.6,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0.6,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0.2,2.8,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0.4,0
S6/B3-P,0,0,0.2,0.8,0,0,0,0.6,0.6,0,0,0,0.4,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.8,5,0,0,2.4,0.4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
S6/B4-P,0,0,0,0.4,0,0,0,0.2,0.2,0,0,0,0.6,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0.2,4.6,0.2,0,0.8,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.8,0
S6/B5-P,0,0,0,0,0,0,0,0.4,0,0.2,0,0,1.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,6,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,4.2,0,0,0.2,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.6,0
S6/B6-P,0,0,0,0,0,0,0,2.2,0.2,0.2,0.2,0,0.2,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1,0,0,0.8,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.2,0
